Gene,Presence
AIPGENE10000,0
AIPGENE10002,0
AIPGENE10004,1
AIPGENE10006,0
AIPGENE10007,0
AIPGENE10008,0
AIPGENE10010,1
AIPGENE10012,1
AIPGENE10014,0
AIPGENE10016,0
AIPGENE10017,0
AIPGENE10020,0
AIPGENE10022,0
AIPGENE10024,1
AIPGENE10025,0
AIPGENE10029,0
AIPGENE1003,0
AIPGENE10031,0
AIPGENE10033,0
AIPGENE10034,1
AIPGENE10035,1
AIPGENE10036,0
AIPGENE10038,1
AIPGENE10041,1
AIPGENE10042,1
AIPGENE10043,0
AIPGENE10044,0
AIPGENE10045,1
AIPGENE10049,0
AIPGENE1005,1
AIPGENE10050,0
AIPGENE10051,0
AIPGENE10055,0
AIPGENE10067,0
AIPGENE10068,0
AIPGENE10069,1
AIPGENE1007,0
AIPGENE10074,1
AIPGENE10077,1
AIPGENE1008,0
AIPGENE10081,1
AIPGENE10083,0
AIPGENE10086,0
AIPGENE10089,0
AIPGENE1009,0
AIPGENE10093,0
AIPGENE10095,0
AIPGENE10097,0
AIPGENE10100,1
AIPGENE10102,0
AIPGENE10103,1
AIPGENE10105,1
AIPGENE10106,1
AIPGENE10109,0
AIPGENE10113,0
AIPGENE10115,1
AIPGENE10117,0
AIPGENE10118,0
AIPGENE10119,1
AIPGENE1012,0
AIPGENE10120,0
AIPGENE10121,0
AIPGENE10125,0
AIPGENE10129,0
AIPGENE10131,1
AIPGENE10134,0
AIPGENE10135,0
AIPGENE10137,0
AIPGENE10138,0
AIPGENE10141,0
AIPGENE10142,0
AIPGENE10143,0
AIPGENE10145,1
AIPGENE10146,0
AIPGENE10149,0
AIPGENE1015,0
AIPGENE10150,0
AIPGENE10151,0
AIPGENE10153,1
AIPGENE10154,0
AIPGENE10155,0
AIPGENE10157,0
AIPGENE10159,0
AIPGENE10160,0
AIPGENE10162,0
AIPGENE10163,0
AIPGENE10169,1
AIPGENE1017,0
AIPGENE10172,1
AIPGENE10173,1
AIPGENE10175,0
AIPGENE10176,1
AIPGENE10178,0
AIPGENE10179,0
AIPGENE10180,1
AIPGENE10183,1
AIPGENE10184,0
AIPGENE10185,1
AIPGENE10186,0
AIPGENE10187,0
AIPGENE10188,0
AIPGENE1019,1
AIPGENE10193,0
AIPGENE10194,0
AIPGENE10195,0
AIPGENE1020,0
AIPGENE10200,0
AIPGENE10214,0
AIPGENE10222,0
AIPGENE10225,0
AIPGENE10227,1
AIPGENE10233,0
AIPGENE1024,0
AIPGENE10242,0
AIPGENE1025,1
AIPGENE10258,1
AIPGENE10259,0
AIPGENE1026,1
AIPGENE10260,1
AIPGENE10262,0
AIPGENE10265,0
AIPGENE10270,0
AIPGENE10271,0
AIPGENE10274,0
AIPGENE10275,0
AIPGENE10277,0
AIPGENE10279,0
AIPGENE1028,1
AIPGENE10280,0
AIPGENE10282,1
AIPGENE10284,0
AIPGENE10285,1
AIPGENE10287,0
AIPGENE10288,0
AIPGENE10290,0
AIPGENE10291,1
AIPGENE10293,0
AIPGENE10295,1
AIPGENE10296,0
AIPGENE10297,1
AIPGENE10299,0
AIPGENE10301,0
AIPGENE10305,0
AIPGENE10308,0
AIPGENE10314,0
AIPGENE10316,0
AIPGENE1032,0
AIPGENE10321,1
AIPGENE10322,0
AIPGENE10325,1
AIPGENE10328,1
AIPGENE1033,0
AIPGENE10330,1
AIPGENE10332,0
AIPGENE10336,0
AIPGENE10337,0
AIPGENE10338,0
AIPGENE10339,1
AIPGENE1034,1
AIPGENE10343,0
AIPGENE10345,0
AIPGENE10358,0
AIPGENE1036,0
AIPGENE10361,0
AIPGENE10362,0
AIPGENE10363,0
AIPGENE10366,0
AIPGENE10373,1
AIPGENE10375,1
AIPGENE10386,0
AIPGENE10387,0
AIPGENE10388,0
AIPGENE10389,1
AIPGENE10394,0
AIPGENE10396,0
AIPGENE10397,1
AIPGENE10398,1
AIPGENE10400,0
AIPGENE10412,0
AIPGENE10413,0
AIPGENE10416,0
AIPGENE10417,0
AIPGENE10419,0
AIPGENE10420,0
AIPGENE10421,0
AIPGENE10422,0
AIPGENE1045,1
AIPGENE1046,0
AIPGENE10491,0
AIPGENE10492,0
AIPGENE10493,0
AIPGENE10494,0
AIPGENE10495,0
AIPGENE10497,1
AIPGENE10498,0
AIPGENE10499,0
AIPGENE1050,0
AIPGENE10500,0
AIPGENE10501,0
AIPGENE10503,1
AIPGENE10504,0
AIPGENE10509,1
AIPGENE1051,1
AIPGENE10510,0
AIPGENE10511,0
AIPGENE10514,0
AIPGENE10515,0
AIPGENE10516,0
AIPGENE10518,0
AIPGENE10519,0
AIPGENE1052,0
AIPGENE10522,1
AIPGENE10524,0
AIPGENE10525,0
AIPGENE10527,1
AIPGENE10528,0
AIPGENE1053,0
AIPGENE10531,0
AIPGENE10532,0
AIPGENE10533,0
AIPGENE10534,0
AIPGENE10538,0
AIPGENE10539,0
AIPGENE10540,1
AIPGENE10541,0
AIPGENE10543,0
AIPGENE10546,0
AIPGENE10547,0
AIPGENE10548,0
AIPGENE10550,0
AIPGENE10556,0
AIPGENE10557,0
AIPGENE10558,0
AIPGENE10560,0
AIPGENE10561,0
AIPGENE10562,0
AIPGENE10564,0
AIPGENE10567,0
AIPGENE10568,1
AIPGENE10569,0
AIPGENE1057,1
AIPGENE10571,0
AIPGENE10572,0
AIPGENE10574,0
AIPGENE10575,0
AIPGENE10578,0
AIPGENE10579,1
AIPGENE10582,0
AIPGENE10583,1
AIPGENE10584,1
AIPGENE10586,0
